[2021-11-26 18:26:55,504][main.py][line:163][INFO] Epoch:[40/256]	 train_loss=0.15157	 val_loss=6.47962	 train_f1=0.991	 val_f1=0.733
[2021-11-26 18:31:43,830][main.py][line:163][INFO] Epoch:[41/256]	 train_loss=0.17636	 val_loss=6.58001	 train_f1=0.989	 val_f1=0.726
[2021-11-26 18:36:39,242][main.py][line:163][INFO] Epoch:[42/256]	 train_loss=0.13193	 val_loss=7.52044	 train_f1=0.992	 val_f1=0.732
[2021-11-26 18:41:49,913][main.py][line:163][INFO] Epoch:[43/256]	 train_loss=0.11306	 val_loss=7.30572	 train_f1=0.994	 val_f1=0.728
[2021-11-26 18:46:43,406][main.py][line:163][INFO] Epoch:[44/256]	 train_loss=0.11149	 val_loss=7.12697	 train_f1=0.995	 val_f1=0.737
[2021-11-26 18:51:56,275][main.py][line:163][INFO] Epoch:[45/256]	 train_loss=0.14082	 val_loss=8.13885	 train_f1=0.993	 val_f1=0.714
[2021-11-26 18:58:25,030][main.py][line:163][INFO] Epoch:[46/256]	 train_loss=0.09165	 val_loss=7.08996	 train_f1=0.996	 val_f1=0.727
[2021-11-26 19:05:41,521][main.py][line:163][INFO] Epoch:[47/256]	 train_loss=0.08902	 val_loss=7.01753	 train_f1=0.996	 val_f1=0.699
[2021-11-26 19:13:33,723][main.py][line:163][INFO] Epoch:[48/256]	 train_loss=0.06887	 val_loss=8.45295	 train_f1=0.997	 val_f1=0.720
[2021-11-26 19:21:34,845][main.py][line:163][INFO] Epoch:[49/256]	 train_loss=0.09050	 val_loss=10.01032	 train_f1=0.996	 val_f1=0.712
[2021-11-26 19:29:35,635][main.py][line:163][INFO] Epoch:[50/256]	 train_loss=0.04673	 val_loss=8.11657	 train_f1=0.998	 val_f1=0.700
[2021-11-26 19:37:36,511][main.py][line:163][INFO] Epoch:[51/256]	 train_loss=0.05773	 val_loss=9.40689	 train_f1=0.996	 val_f1=0.719
[2021-11-26 19:45:21,216][main.py][line:163][INFO] Epoch:[52/256]	 train_loss=0.06539	 val_loss=9.05997	 train_f1=0.996	 val_f1=0.708
